Fecha;año;mes;día;Tipo de Egreso;Nota-Observacion;Valor;Grupo 1;Quien paga;De donde Paga;Actuals / FCST
6/05/2026;2026;5;6;Domicilios entrega almacen;Moto domicilio;5000;LOGÍSTICA Y TRANSPORTE;Juan;EFECTIVO;ACT
7/05/2026;2026;5;7;Arriendo almacen;Arriendo almacen;900000;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
7/05/2026;2026;5;7;Salud Betty;Salud Betty;670000;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
7/05/2026;2026;5;7;GASTOS CASA/PERSONALES;Juan Camilo;50000;GASTOS CASA/PERSONALES;Juan;EFECTIVO;ACT
8/05/2026;2026;5;8;GASTOS CASA/PERSONALES;Juan Camilo-postres;40000;GASTOS CASA/PERSONALES;Juan;EFECTIVO;ACT
8/05/2026;2026;5;8;RE-BRANDING;Camisetas blancas para bordar amiga de karol;50000;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
8/05/2026;2026;5;8;Domicilios mandados taller;domicilio taller;5000;LOGÍSTICA Y TRANSPORTE;Juan;EFECTIVO;ACT
9/05/2026;2026;5;9;GASTOS CASA/PERSONALES;Cumpleaños karol;18000;GASTOS CASA/PERSONALES;Juan;EFECTIVO;ACT
9/05/2026;2026;5;9;GASTOS CASA/PERSONALES;Bollos Clelia;50000;GASTOS CASA/PERSONALES;Juan;EFECTIVO;ACT
9/05/2026;2026;5;9;GASTOS CASA/PERSONALES;Domicilio richard por mandado clelia;5000;GASTOS CASA/PERSONALES;Juan;EFECTIVO;ACT
11/05/2026;2026;5;11;Plan celular clelia/juan;Celular clelia;80000;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
11/05/2026;2026;5;11;Domicilios mandados taller;Moto taller-almacen;10000;LOGÍSTICA Y TRANSPORTE;Juan;EFECTIVO;ACT
12/05/2026;2026;5;12;Domicilios entrega almacen;Moto domicilio;5000;LOGÍSTICA Y TRANSPORTE;Juan;EFECTIVO;ACT
12/05/2026;2026;5;12;Bolsas individuales;Bolsas plasticas empacar producto;40000;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
12/05/2026;2026;5;12;Refrigerios y bienestar comercial;Pan de bono;6000;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
1/01/2026;2026;1;1;Bordadora-cindy;nomina-quincena;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
2/05/2026;2026;5;2;Coordinador de taller-Betty;nomina-quincena;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
28/02/2026;2026;2;28;Operarias;nomina-quincena;4868800;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
12/05/2026;2026;5;12;Funeraria los olivos;Funeraria los olivos;60000;GASTOS NO OPERACIONALES;Juan;EFECTIVO;ACT
7/05/2026;2026;5;7;Tela;Pago la Fayette;2540501;COSTOS DIRECTOS;Juan;BBVA;ACT
5/03/2026;2026;3;5;Tela;Pago la Fayette;9157654;COSTOS DIRECTOS;Juan;BBVA;ACT
23/02/2026;2026;2;23;Tela;Pago la Fayette;5491445;COSTOS DIRECTOS;Juan;BBVA;ACT
2/02/2026;2026;2;2;Tela;Pago la Fayette;9479797;COSTOS DIRECTOS;Juan;BBVA;ACT
8/05/2026;2026;5;8;Tela;pago Almacen SI;10842109;COSTOS DIRECTOS;Juan;BANCOLOMBIA;ACT
15/05/2026;2026;5;15;Nómina Yaneth;pago de nomina quincenal de yaneth;1000000;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
17/03/2026;2026;3;17;Tela;pago a Tejido de punto linda textil SA;2358000;COSTOS DIRECTOS;Juan;BANCOLOMBIA;ACT
17/04/2026;2026;4;17;Mantenimiento carro;repuestos + mano de obra + alineacion y balanceo;1875000;LOGÍSTICA Y TRANSPORTE;Juan;BBVA;ACT
15/04/2026;2026;4;15;Impuestos vehículo;Pago impuesto nissan qashqai 2026;3141000;LOGÍSTICA Y TRANSPORTE;Juan;BBVA;ACT
15/04/2026;2026;4;15;Impuestos vehículo;Pago impuesto Renault duster;1960000;LOGÍSTICA Y TRANSPORTE;Juan;BBVA;ACT
15/04/2026;2026;4;15;Internet almacen;Pago internet almacen;70693;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;BBVA;ACT
15/04/2026;2026;4;15;Internet taller;Pago servicio hogar taller;150164;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;BANCOLOMBIA;ACT
15/04/2026;2026;4;15;Plan celular clelia/juan;Celular juan camilo;36388;GASTOS OPERACIONALES;Juan;BANCOLOMBIA;ACT
13/05/2026;2026;5;13;Energía taller;periodo 26-05;1293700;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
13/04/2026;2026;4;13;Energía taller;periodo 26-04;1225890;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;BANCOLOMBIA;ACT
13/03/2026;2026;3;13;Energía taller;periodo 26-03;1095120;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;BANCOLOMBIA;ACT
13/02/2026;2026;2;13;Energía taller;periodo 26-02;1043170;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;BANCOLOMBIA;ACT
13/01/2026;2026;1;13;Energía taller;periodo 26-01;1165920;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;BANCOLOMBIA;ACT
28/04/2026;2026;4;28;Tela;pago Alfonso EME;3237300;COSTOS DIRECTOS;Juan;BANCOLOMBIA;ACT
23/04/2026;2026;4;23;Botones;pago Cacharrería BONBAY;758157;COSTOS DIRECTOS;Juan;BANCOLOMBIA;ACT
21/04/2026;2026;4;21;GASTOS CASA/PERSONALES;Centro diabetologico SAS;110000;GASTOS CASA/PERSONALES;Juan;BANCOLOMBIA;ACT
15/05/2026;2026;5;15;Internet taller;pago Internet hogar taller;150164;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;BANCOLOMBIA;ACT
13/04/2026;2026;4;13;Tela;Pago la Fayette;1771341;COSTOS DIRECTOS;Clelia;BANCO BOGOTA;ACT
30/03/2026;2026;3;30;Tela;pago a TEJILAR;1948000;COSTOS DIRECTOS;Clelia;BANCO BOGOTA;ACT
26/03/2026;2026;3;26;Tela;pago a TEJILAR;4463323;COSTOS DIRECTOS;Clelia;BANCO BOGOTA;ACT
18/03/2026;2026;3;18;Tela;pago a TEJILAR;6051780;COSTOS DIRECTOS;Clelia;BANCO BOGOTA;ACT
17/03/2026;2026;3;17;Tela;pago linda textil;2358000;COSTOS DIRECTOS;Clelia;BANCOLOMBIA;ACT
23/04/2026;2026;4;23;Flyers;pago volantes publicidad;140000;COMERCIALES Y MARKETING;Juan;EFECTIVO;ACT
13/03/2026;2026;3;13;Cortadora circular;Compra de maquina cortadora circular;820000;INVERSIONES Y ACTIVOS;Juan;BBVA;ACT
1/01/2026;2026;1;1;Carro empresa;Compra Renault duster;70000000;INVERSIONES Y ACTIVOS;Juan;BBVA;ACT
13/05/2026;2026;5;13;Refrigerios y bienestar comercial;refrigerios;4000;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
13/05/2026;2026;5;13;Domicilios mandados taller;transporte de mercancia;5000;LOGÍSTICA Y TRANSPORTE;Juan;EFECTIVO;ACT
16/03/2026;2026;3;16;Operarias;nomina-quincena;4033625;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
1/04/2026;2026;4;1;Operarias;nomina-quincena;4726207;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
9/04/2026;2026;4;9;Operarias;nomina-quincena;1243800;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
16/04/2026;2026;4;16;Operarias;nomina-quincena;2785662;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
2/05/2026;2026;5;2;Operarias;nomina-quincena;4701521;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
14/05/2026;2026;5;14;Confección satélite;Capullo;245000;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
13/05/2026;2026;5;13;GASTOS CASA/PERSONALES;Pago clelia 50k busqueda lote coveñas;50000;GASTOS CASA/PERSONALES;Juan;NEQUI;ACT
14/05/2026;2026;5;14;GASTOS CASA/PERSONALES;Regalo Anita;192000;GASTOS CASA/PERSONALES;Juan;EFECTIVO;ACT
14/05/2026;2026;5;14;Tela;kilo tela;150000;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
14/05/2026;2026;5;14;GASTOS CASA/PERSONALES;Oro clelia;800000;GASTOS CASA/PERSONALES;Juan;EFECTIVO;ACT
15/05/2026;2026;5;15;Refrigerios y bienestar comercial;Agua Juan;5000;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
15/05/2026;2026;5;15;Refrigerios y bienestar comercial;Proveedor Verna Vega;79000;GASTOS OPERACIONALES;Juan;NEQUI;ACT
15/05/2026;2026;5;15;Operarias;nomina-quincena;3135057;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
15/01/2026;2026;1;15;Bordadora-cindy;nomina-quincena;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
15/05/2026;2026;5;15;Coordinador de taller-Betty;nomina-quincena;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
15/05/2026;2026;5;15;hojas;fotocopias - clelia;7000;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
16/05/2026;2026;5;16;Cuellos;Pago cuellos SR Emilio;500000;COSTOS DIRECTOS;Clelia;BANCOLOMBIA;ACT
16/05/2026;2026;5;16;Gasolina;Gasolina Nissan Qashqai;178000;LOGÍSTICA Y TRANSPORTE;Juan;BBVA;ACT
19/05/2026;2026;5;19;Internet almacen;Pago internet almacen;70693;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;BBVA;ACT
19/05/2026;2026;5;19;Plan celular clelia/juan;pago celular juan;34989;GASTOS OPERACIONALES;Juan;BBVA;ACT
19/05/2026;2026;5;19;Refrigerios y bienestar comercial;Pandebono Juan;6000;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
19/05/2026;2026;5;19;Domicilios entrega almacen;CONALCO CANTA CLARO;5000;LOGÍSTICA Y TRANSPORTE;Juan;EFECTIVO;ACT
20/05/2026;2026;5;20;GASTOS CASA/PERSONALES;PROTEINA JUAN;133000;GASTOS CASA/PERSONALES;Juan;EFECTIVO;ACT
21/05/2026;2026;5;21;Refrigerios y bienestar comercial;juan;20000;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
21/05/2026;2026;5;21;GASTOS CASA/PERSONALES;almuerzo familiar;113000;GASTOS CASA/PERSONALES;Juan;BBVA;ACT
21/05/2026;2026;5;21;Domicilios mandados taller;richard;5000;LOGÍSTICA Y TRANSPORTE;Juan;EFECTIVO;ACT
21/05/2026;2026;5;21;Domicilios mandados taller;del dia 20 taller;5000;LOGÍSTICA Y TRANSPORTE;Juan;efectivo;ACT
21/05/2026;2026;5;21;Fotografías;fotocopias - clelia;2000;COMERCIALES Y MARKETING;Juan;efectivo;ACT
22/05/2026;2026;5;22;Plan celular clelia/juan;Celular Clelia;150000;GASTOS OPERACIONALES;Juan;BBVA;ACT
22/05/2026;2026;5;22;Tela;Almacen SI SA;150000;COSTOS DIRECTOS;Clelia;BANCOLOMBIA;ACT
22/05/2026;2026;5;22;Pérdidas extraordinarias;ajuste (No se en que putas se fue esto);115000000;GASTOS NO OPERACIONALES;;;ACT
22/05/2026;2026;5;22;Refrigerios y bienestar comercial;hidratacion juan;5000;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
22/05/2026;2026;5;22;Refrigerios operarias;panochas;25000;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
22/05/2026;2026;5;22;Tela;baratillo medellin - jean -diac;190000;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
1/02/2026;2026;2;1;Bordadora-cindy;nomina-quincena;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
28/02/2026;2026;2;28;Bordadora-cindy;nomina-quincena;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
1/03/2026;2026;3;1;Bordadora-cindy;nomina-quincena;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
28/03/2026;2026;3;28;Bordadora-cindy;nomina-quincena;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
1/04/2026;2026;4;1;Bordadora-cindy;nomina-quincena;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
28/04/2026;2026;4;28;Bordadora-cindy;nomina-quincena;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
2/05/2026;2026;5;2;Bordadora-cindy;nomina-quincena;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
15/05/2026;2026;5;15;Bordadora-cindy;nomina-quincena;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
1/01/2026;2026;1;1;Coordinador de taller-Betty;nomina-quincena;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
15/01/2026;2026;1;15;Coordinador de taller-Betty;nomina-quincena;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
1/02/2026;2026;2;1;Coordinador de taller-Betty;nomina-quincena;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
15/02/2026;2026;2;15;Coordinador de taller-Betty;nomina-quincena;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
1/03/2026;2026;3;1;Coordinador de taller-Betty;nomina-quincena;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
15/03/2026;2026;3;15;Coordinador de taller-Betty;nomina-quincena;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
1/04/2026;2026;4;1;Coordinador de taller-Betty;nomina-quincena;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
15/04/2026;2026;4;15;Coordinador de taller-Betty;nomina-quincena;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
1/01/2026;2026;1;1;Salud Betty;Salud Betty;670000;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
1/02/2026;2026;2;1;Salud Betty;Salud Betty;670000;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
1/03/2026;2026;3;1;Salud Betty;Salud Betty;670000;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
1/04/2026;2026;4;1;Salud Betty;Salud Betty;670000;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
1/01/2026;2026;1;1;Nómina Yaneth;pago de nomina quincenal de yaneth;1000000;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
15/01/2026;2026;1;15;Nómina Yaneth;pago de nomina quincenal de yaneth;1000000;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
1/02/2026;2026;2;1;Nómina Yaneth;pago de nomina quincenal de yaneth;1000000;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
15/02/2026;2026;2;15;Nómina Yaneth;pago de nomina quincenal de yaneth;1000000;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
1/03/2026;2026;3;1;Nómina Yaneth;pago de nomina quincenal de yaneth;1000000;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
15/03/2026;2026;3;15;Nómina Yaneth;pago de nomina quincenal de yaneth;1000000;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
1/04/2026;2026;4;1;Nómina Yaneth;pago de nomina quincenal de yaneth;1000000;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
15/04/2026;2026;4;15;Nómina Yaneth;pago de nomina quincenal de yaneth;1000000;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
25/05/2026;2026;5;25;Refrigerios y bienestar comercial;Pandebono Juan;6000;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
1/06/2026;2026;6;1;Nómina Yaneth;FCST;1000000;GASTOS OPERACIONALES;Juan;EFECTIVO;FCST
15/06/2026;2026;6;15;Nómina Yaneth;FCST;1000000;GASTOS OPERACIONALES;Juan;EFECTIVO;FCST
1/07/2026;2026;7;1;Nómina Yaneth;FCST;1000000;GASTOS OPERACIONALES;Juan;EFECTIVO;FCST
15/07/2026;2026;7;15;Nómina Yaneth;FCST;1000000;GASTOS OPERACIONALES;Juan;EFECTIVO;FCST
1/08/2026;2026;8;1;Nómina Yaneth;FCST;1000000;GASTOS OPERACIONALES;Juan;EFECTIVO;FCST
15/08/2026;2026;8;15;Nómina Yaneth;FCST;1000000;GASTOS OPERACIONALES;Juan;EFECTIVO;FCST
1/09/2026;2026;9;1;Nómina Yaneth;FCST;1000000;GASTOS OPERACIONALES;Juan;EFECTIVO;FCST
15/09/2026;2026;9;15;Nómina Yaneth;FCST;1000000;GASTOS OPERACIONALES;Juan;EFECTIVO;FCST
1/10/2026;2026;10;1;Nómina Yaneth;FCST;1000000;GASTOS OPERACIONALES;Juan;EFECTIVO;FCST
15/10/2026;2026;10;15;Nómina Yaneth;FCST;1000000;GASTOS OPERACIONALES;Juan;EFECTIVO;FCST
1/11/2026;2026;11;1;Nómina Yaneth;FCST;1000000;GASTOS OPERACIONALES;Juan;EFECTIVO;FCST
15/11/2026;2026;11;15;Nómina Yaneth;FCST;1000000;GASTOS OPERACIONALES;Juan;EFECTIVO;FCST
1/12/2026;2026;12;1;Nómina Yaneth;FCST;1000000;GASTOS OPERACIONALES;Juan;EFECTIVO;FCST
15/12/2026;2026;12;15;Nómina Yaneth;FCST;1000000;GASTOS OPERACIONALES;Juan;EFECTIVO;FCST
1/01/2027;2027;1;1;Nómina Yaneth;FCST;1000000;GASTOS OPERACIONALES;Juan;EFECTIVO;FCST
1/06/2026;2026;6;1;Bordadora-cindy;FCST;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/06/2026;2026;6;15;Bordadora-cindy;FCST;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/07/2026;2026;7;1;Bordadora-cindy;FCST;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/07/2026;2026;7;15;Bordadora-cindy;FCST;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/08/2026;2026;8;1;Bordadora-cindy;FCST;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/08/2026;2026;8;15;Bordadora-cindy;FCST;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/09/2026;2026;9;1;Bordadora-cindy;FCST;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/09/2026;2026;9;15;Bordadora-cindy;FCST;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/10/2026;2026;10;1;Bordadora-cindy;FCST;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/10/2026;2026;10;15;Bordadora-cindy;FCST;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/11/2026;2026;11;1;Bordadora-cindy;FCST;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/11/2026;2026;11;15;Bordadora-cindy;FCST;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/12/2026;2026;12;1;Bordadora-cindy;FCST;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/12/2026;2026;12;15;Bordadora-cindy;FCST;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/01/2027;2027;1;1;Bordadora-cindy;FCST;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
9/06/2026;2026;6;9;Salud Betty;Salud Betty;679000;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
15/06/2026;2026;6;15;Salud Betty;FCST;1000000;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
1/07/2026;2026;7;1;Salud Betty;FCST;1000000;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
15/07/2026;2026;7;15;Salud Betty;FCST;1000000;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
1/08/2026;2026;8;1;Salud Betty;FCST;1000000;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
15/08/2026;2026;8;15;Salud Betty;FCST;1000000;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
1/09/2026;2026;9;1;Salud Betty;FCST;1000000;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
15/09/2026;2026;9;15;Salud Betty;FCST;1000000;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
1/10/2026;2026;10;1;Salud Betty;FCST;1000000;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
15/10/2026;2026;10;15;Salud Betty;FCST;1000000;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
1/11/2026;2026;11;1;Salud Betty;FCST;1000000;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
15/11/2026;2026;11;15;Salud Betty;FCST;1000000;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
1/12/2026;2026;12;1;Salud Betty;FCST;1000000;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
15/12/2026;2026;12;15;Salud Betty;FCST;1000000;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
1/01/2027;2027;1;1;Salud Betty;FCST;1000000;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
1/06/2026;2026;6;1;Coordinador de taller-Betty;FCST;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/06/2026;2026;6;15;Coordinador de taller-Betty;FCST;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/07/2026;2026;7;1;Coordinador de taller-Betty;FCST;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/07/2026;2026;7;15;Coordinador de taller-Betty;FCST;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/08/2026;2026;8;1;Coordinador de taller-Betty;FCST;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/08/2026;2026;8;15;Coordinador de taller-Betty;FCST;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/09/2026;2026;9;1;Coordinador de taller-Betty;FCST;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/09/2026;2026;9;15;Coordinador de taller-Betty;FCST;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/10/2026;2026;10;1;Coordinador de taller-Betty;FCST;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/10/2026;2026;10;15;Coordinador de taller-Betty;FCST;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/11/2026;2026;11;1;Coordinador de taller-Betty;FCST;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/11/2026;2026;11;15;Coordinador de taller-Betty;FCST;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/12/2026;2026;12;1;Coordinador de taller-Betty;FCST;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/12/2026;2026;12;15;Coordinador de taller-Betty;FCST;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/01/2027;2027;1;1;Coordinador de taller-Betty;FCST;1000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/06/2026;2026;6;1;Operarias;nomina-quincena;2719124;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
12/06/2026;2026;6;12;Operarias;nomina-quincena;3000000;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
1/07/2026;2026;7;1;Operarias;FCST;5000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/07/2026;2026;7;15;Operarias;nomina-quincena;3586677.7;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
1/08/2026;2026;8;1;Operarias;FCST;5000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/08/2026;2026;8;15;Operarias;FCST;5000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/09/2026;2026;9;1;Operarias;FCST;5000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/09/2026;2026;9;15;Operarias;FCST;5000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/10/2026;2026;10;1;Operarias;FCST;5000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/10/2026;2026;10;15;Operarias;FCST;5000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/11/2026;2026;11;1;Operarias;FCST;5000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/11/2026;2026;11;15;Operarias;FCST;5000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/12/2026;2026;12;1;Operarias;FCST;5000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/12/2026;2026;12;15;Operarias;FCST;5000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/01/2027;2027;1;1;Operarias;FCST;5000000;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
9/06/2026;2026;6;9;Arriendo almacen;Arriendo almacen;900000;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
5/07/2026;2026;7;5;Arriendo almacen;FCST;900000;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
